time,latitude,longitude,thetao,so,uo,vo,wo,kd,ph,spco2,o2,no3,po4,si,fe,chl
2023-12-01,20.0,89.75,27.322805,32.20142,0.0492751,0.00594467,-2.8522813e-06,0.056219496,8.079213,34.096367,210.70331,0.48919195,0.022368329,2.06262,0.000735109,0.31751686
2023-12-01,20.0,90.0,27.036701,31.050486,-0.196343,-0.14126202,-2.4249024e-07,0.055182215,8.087698,33.217445,213.05751,1.2845736,0.0129389055,2.2858334,0.00084797316,0.28377822
2023-12-01,20.0,90.25,27.147812,31.393084,-0.14727168,-0.0812255,-4.291245e-07,0.05216178,8.084445,33.597878,212.06847,1.5413548,0.0071115545,2.627164,0.0008228731,0.21103011
2023-12-01,20.0,90.5,26.790709,27.032257,-0.36620605,-0.024394961,3.3775807e-06,0.04845022,8.102618,32.234962,214.02621,3.8636243,0.0012022415,3.3913503,0.001091021,0.1983949
2023-12-01,20.0,90.75,26.970106,26.796848,-0.29761174,-0.19050373,2.464392e-06,0.043022767,8.105902,31.92026,215.0812,4.9678802,0.0004031363,3.8208241,0.001230499,0.2011692
2023-12-01,20.0,91.0,26.972445,27.419851,-0.23089942,0.03720581,-6.307192e-07,0.041542534,8.110696,31.727972,214.53223,4.7611175,0.00034479608,3.581391,0.0012328415,0.2031812
2023-12-01,20.25,89.0,27.225037,31.591843,-0.04619116,-0.08316468,2.3569716e-07,0.050341345,8.082581,34.033104,209.01889,0.025603157,0.041150507,1.8357755,0.0006698936,0.4282632
2023-12-01,20.25,89.25,27.153942,31.835289,0.035053913,-0.07064039,3.042208e-07,0.05054419,8.079978,34.228386,208.77612,0.026586486,0.03852112,1.9438367,0.0006517042,0.41933858
2023-12-01,20.25,89.5,27.056776,30.976303,-0.16920707,0.21384661,1.7437969e-06,0.065717615,8.093689,33.138298,210.96101,0.26181662,0.01783419,2.0676386,0.00068893767,0.40283138
2023-12-01,20.25,89.75,26.671566,28.471462,-0.33455083,0.19013536,3.0211353e-07,0.055024166,8.121917,30.79817,215.60136,2.013082,0.0009987672,2.361109,0.00097347604,0.37235755
2023-12-01,20.25,90.0,26.46764,27.11554,-0.14491588,-0.120747834,1.9294098e-06,0.055745352,8.128563,30.218943,218.05249,3.376016,0.00087523594,2.6668475,0.0012038862,0.27654788
2023-12-01,20.25,90.25,26.482212,27.721577,-0.12103162,-0.13100305,-1.4526108e-06,0.0476835,8.119318,31.078266,215.36057,3.236371,0.00060098554,2.91412,0.0010463378,0.20827885
2023-12-01,20.25,90.5,26.92199,25.85066,-0.2691075,0.101702966,-1.6626667e-06,0.04447623,8.126218,30.595354,216.70825,6.416936,0.00037746353,4.8504634,0.0013650355,0.20514324
2023-12-01,20.25,90.75,26.939861,24.9427,-0.26790294,-0.12574281,3.3173258e-06,0.04733609,8.133913,30.027498,218.5084,7.7698483,0.00041742955,6.0304723,0.0015595991,0.21789858
2023-12-01,20.25,91.0,27.027145,25.779337,-0.15388252,-0.10871579,1.4086627e-06,0.049289748,8.12401,30.656591,218.13232,7.6823025,0.0004305732,5.8871655,0.0015683464,0.22350882
2023-12-01,20.5,87.0,26.519096,23.552692,-0.08526267,-0.15045832,2.1586397e-06,0.065920584,8.168921,25.648663,222.12311,2.8802009,0.0017906147,2.556799,0.0034631477,0.44063395
2023-12-01,20.5,87.5,26.806675,28.109482,0.037483968,0.101832554,2.138159e-06,0.06807788,8.130614,30.653053,213.69008,0.15047808,0.01287651,1.5883555,0.00067015766,0.40040573
2023-12-01,20.5,88.0,26.626888,28.076723,-0.29862908,0.10847519,1.8624224e-06,0.067345314,8.140785,29.513094,215.02585,0.5943346,0.0149302585,1.735341,0.0008356234,0.40187967
2023-12-01,20.5,88.25,26.661722,28.162884,0.03854167,0.020169051,3.482999e-06,0.060740616,8.132588,29.864317,215.39038,0.6288997,0.008701262,1.7363135,0.00085376395,0.40057313
2023-12-01,20.5,88.5,26.871174,28.869286,0.1904296,0.07404867,2.4178787e-06,0.06163415,8.124861,30.35398,215.17407,0.555351,0.008114346,1.71974,0.0008314507,0.40082023
2023-12-01,20.5,88.75,27.07885,29.449017,0.21350966,0.039914325,3.3316527e-07,0.058289673,8.119814,30.78474,214.48087,0.35120365,0.006020814,1.6919929,0.00076977967,0.40070853
2023-12-01,20.5,89.0,27.205898,29.6951,0.13220784,-0.028157257,2.5481188e-06,0.059659418,8.1110525,31.576376,213.67082,0.109956935,0.005947859,1.678859,0.0007083523,0.40297103
2023-12-01,20.5,89.25,27.069157,31.055344,0.016884234,-0.14078635,2.3384353e-06,0.056974404,8.094601,32.976902,211.53833,0.05510032,0.00923527,1.8043938,0.00065861514,0.3941868
2023-12-01,20.5,89.75,26.36313,26.160131,-0.09707155,0.06625998,-2.4879566e-06,0.058600143,8.144722,29.229586,219.2384,3.9916532,0.00082680554,2.869743,0.00131452,0.4144079
2023-12-01,20.5,90.25,26.486628,26.866196,0.14779438,0.11578713,9.139349e-07,0.05351902,8.132153,30.13777,218.06697,4.0955424,0.0006705523,2.9890592,0.001244456,0.21069326
2023-12-01,20.75,87.0,26.416733,21.381357,-0.04501182,-0.0958591,-2.7037702e-06,0.073963635,8.186409,23.9038,224.45255,3.6403208,0.002274211,3.076571,0.0045984597,0.5180175
2023-12-01,20.75,87.25,26.655235,24.667486,-0.2933167,-0.2197765,1.0381938e-07,0.05761,8.175773,25.995647,220.15666,1.199322,0.0011663245,1.8375952,0.001640217,0.36961374
2023-12-01,20.75,88.25,26.77855,28.402023,0.041235533,-0.022451542,-1.2713591e-06,0.054512788,8.136287,29.755003,216.26848,1.2059709,0.0014908491,2.2135408,0.00095771224,0.39961913
